describe,introduce,movie_name,no,numbers,star
希望让人自由。,1994/美国/犯罪剧情,肖申克的救赎,1,1399258人评价,9.6
风华绝代。,1993/中国大陆香港/剧情爱情同性,霸王别姬,2,1036143人评价,9.6
怪蜀黍和小萝莉不得不说的故事。,1994/法国/剧情动作犯罪,这个杀手不太冷,3,1278134人评价,9.4
一部美国近现代史。,1994/美国/剧情爱情,阿甘正传,4,1101890人评价,9.4
最美的谎言。,1997/意大利/剧情喜剧爱情战争,美丽人生,5,645147人评价,9.5
失去的才是永恒的。 ,1997/美国/剧情爱情灾难,泰坦尼克号,6,1042365人评价,9.3
最好的宫崎骏，最好的久石让。 ,2001/日本/剧情动画奇幻,千与千寻,7,1027709人评价,9.3
拯救一个人，就是拯救整个世界。,1993/美国/剧情历史战争,辛德勒的名单,8,575414人评价,9.5
诺兰给了我们一场无法盗取的梦。,2010/美国英国/剧情科幻悬疑冒险,盗梦空间,9,1108409人评价,9.3
永远都不能忘记你所爱的人。,2009/美国英国/剧情,忠犬八公的故事,10,730369人评价,9.3
小瓦力，大人生。,2008/美国/爱情科幻动画冒险,机器人总动员,11,734317人评价,9.3
英俊版憨豆，高情商版谢耳朵。,2009/印度/剧情喜剧爱情歌舞,三傻大闹宝莱坞,12,995323人评价,9.2
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,1998/意大利/剧情音乐,海上钢琴师,13,817015人评价,9.2
天籁一般的童声，是最接近上帝的存在。 ,2004/法国瑞士德国/剧情音乐,放牛班的春天,14,689082人评价,9.3
如果再也不能见到你，祝你早安，午安，晚安。,1998/美国/剧情科幻,楚门的世界,15,761048人评价,9.2
一生所爱。,1995/香港中国大陆/喜剧爱情奇幻古装,大话西游之大圣娶亲,16,769842人评价,9.2
爱是一种力量，让我们超越时空感知它的存在。,2014/美国英国加拿大冰岛/剧情科幻冒险,星际穿越,17,790305人评价,9.2
人人心中都有个龙猫，童年就永远不会消失。,1988/日本/动画奇幻冒险,龙猫,18,680577人评价,9.2
千万不要记恨你的对手，这样会让你失去理智。,1972/美国/剧情犯罪,教父,19,499641人评价,9.2
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,2011/韩国/剧情,熔炉,20,445191人评价,9.3
香港电影史上永不过时的杰作。,2002/香港/剧情犯罪悬疑,无间道,21,632073人评价,9.1
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,2016/美国/喜剧动画冒险,疯狂动物城,22,867737人评价,9.2
平民励志片。 ,2006/美国/剧情传记家庭,当幸福来敲门,23,805422人评价,9.0
真正的幸福是来自内心深处。,2010/美国/剧情喜剧爱情,怦然心动,24,889387人评价,9.0
满满温情的高雅喜剧。,2011/法国/剧情喜剧,触不可及,25,532318人评价,9.2
无尽的黑暗。,2008/美国英国/剧情动作科幻犯罪惊悚,蝙蝠侠：黑暗骑士,26,513573人评价,9.1
Tomorrow is another day.,1939/美国/剧情历史爱情战争,乱世佳人,27,370632人评价,9.2
张艺谋最好的电影。,1994/中国大陆香港/剧情历史家庭,活着,28,411443人评价,9.2
瑰丽壮观、无人能及的冒险之旅。,2012/美国台湾英国加拿大/剧情奇幻冒险,少年派的奇幻漂流,29,804443人评价,9.0
比利·怀德满分作品。,1957/美国/剧情犯罪悬疑,控方证人,30,176650人评价,9.6
